Time	Iteration	AverageReward	StdRewards	MaxRewardRollout	MinRewardRollout	timesteps
10.059034824371338	10	278.6448525380184	12.463666020651424	305.6038216041788	249.3704321232173	187125
18.784252405166626	20	293.2480113957421	11.564878584388381	325.20433733406804	269.50956861155186	409949
28.771243572235107	30	356.1788541013257	19.654223729778845	407.41239495149927	323.1898818967496	665271
39.50840473175049	40	371.81135995125317	23.45003885440933	433.8694027815169	325.0017584609996	944380
51.39479422569275	50	435.15141271872	28.614971637483166	490.07056315778345	374.9810359079898	1247547
63.525174617767334	60	450.67907206791494	32.875478830102274	533.9430037887776	370.2967024960387	1564632
75.41185545921326	70	471.39254622160655	29.213915628433163	516.9024046403517	401.363553792518	1892711
88.15878391265869	80	497.7781741327988	24.511183662190895	569.6562706617098	450.8964575230431	2238300
101.093514919281	90	525.6597515522892	43.21386148841909	686.0461348243997	447.84655931283584	2600960
114.68730187416077	100	542.0815843418764	35.183009743348165	605.583268108007	436.85946154854713	2984456
129.4846591949463	110	647.8391088890553	94.70013172773595	905.7086006432002	470.38742656266203	3395599
144.78269052505493	120	662.0078276111018	99.53207606782608	948.4085989685934	495.8748730687515	3821554
160.75616121292114	130	745.9130804512379	103.11866977255676	1144.8295557072768	560.4286634762151	4269294
176.93582940101624	140	789.3798138232538	94.27097666918607	1168.331260580638	596.0904068360035	4734628
193.99449396133423	150	848.0938350845638	133.7922791872166	1232.8952459252516	638.8828747544495	5208797
211.92237520217896	160	882.0978443968113	141.1158507976145	1424.217659545973	610.6800930850875	5713657
230.47715425491333	170	915.7609232072831	132.5267011229815	1245.7963315327918	676.0459917805688	6239239
249.28158807754517	180	1008.5417504304475	198.9197054244194	1861.7659113139246	562.9991838474673	6780904
270.0840244293213	190	1013.2754009278551	154.87816211162504	1665.972856209613	747.0505951423885	7343581
290.6583330631256	200	1001.2698911694699	169.29663810119382	1627.813465423918	709.5844340260517	7919886
311.62871861457825	210	1090.0400434313717	201.81599285169733	1609.1387745886045	728.166119145775	8515121
333.25474095344543	220	1323.5489279874448	293.98517489914946	2119.579581008995	749.369997729814	9134107
356.35316276550293	230	1333.0573639574889	239.38530819971157	2018.4447846016737	754.8821790925658	9766945
379.9875862598419	240	1306.6300990244288	298.6639000634068	2296.583778644792	640.9488895441577	10426908
404.32730412483215	250	1576.0734670477204	401.0700834795489	2861.5613810008786	736.4540149627443	11113481
430.37660455703735	260	1937.7397330343638	625.6499024990585	3749.2237749643155	787.6047009624633	11852137
459.87563824653625	270	2376.8937232936773	793.9668444836218	4793.694124677271	1106.4452955681822	12640781
490.59032464027405	280	1605.0560266875168	300.9107325847166	2488.4030249401458	1097.4295196889482	13485347
520.6255168914795	290	2273.260799615747	612.404941906993	4797.005711444155	1065.8651982969443	14356961
558.09206199646	300	3575.1917486549128	1273.2089806889896	6299.27838164464	1509.9464671907647	15339621
605.1608443260193	310	6095.0119571964615	502.0608731139609	6333.405308529725	3697.8058087442023	16543639
666.2535915374756	320	6139.626372628359	472.9324131025358	6357.139908989764	2582.337304054647	18059138
751.0431325435638	330	6120.012705751599	10.498234018484473	6147.459727613188	6095.911029915681	20223229
848.510470867157	340	6196.552900628699	9.5272123657826	6221.472653832491	6179.080581107598	22884097
958.274493932724	350	6182.839418843566	10.54639041755647	6207.485006103906	6159.260698656069	25985081
1075.669383764267	360	6176.185473294063	7.055918744547008	6193.960208728765	6161.977669199079	29556165
1191.8049640655518	370	6274.116897587066	8.23458543532673	6293.796416726573	6255.796793264961	33397764
1306.8006649017334	380	6299.995501701133	7.353243694200854	6315.658409213479	6280.76299365617	37353234
1427.35298037529	390	6276.894561298669	5.856309476763293	6293.824341884227	6257.045887581786	41331648
1548.31813788414	400	6360.624123552165	6.21326610284185	6376.190127847274	6345.29245665957	45390782
1668.6562983989716	410	6400.012038656204	7.282971100243389	6415.438830835799	6378.317600760992	49506101
1786.5767121315002	420	6369.122104002467	6.623142297092194	6383.495391207576	6353.19139133766	53644040
1905.0876805782318	430	6351.448109508542	8.214803756521903	6373.184990042986	6332.539601454521	57774557
2022.75022149086	440	6470.701533559182	6.003363568451061	6487.490326146113	6452.050837454869	61968288
2140.1107511520386	450	6510.659249097201	7.728788887372681	6529.6752393293045	6492.389992688852	66251190
2256.958594560623	460	6517.688485155818	6.668880318641326	6535.079684602936	6503.497658142655	70525628
2375.616381406784	470	6546.733351366258	5.7685047869344395	6560.124701893053	6530.802433891925	74786091
2500.0283341407776	480	6526.285099972747	8.126800160262514	6546.017984528058	6502.512009062839	79041292
2624.000293970108	490	6519.47494691323	8.575936934534937	6538.745595665222	6497.626985652203	83338241
2741.93462061882	500	6522.834714584452	7.270059077205557	6542.204338958792	6504.418574245606	87661034
2859.772915840149	510	6552.436676877452	7.86020731236024	6572.460214988831	6536.470734267403	91925667
2979.421843767166	520	6592.647859606278	7.484839935840149	6613.682425587997	6576.202278875601	96224805
3100.6745431423187	530	6629.411621351278	6.734603256209273	6642.786996121261	6609.064275505061	100510494
3218.2260711193085	540	6631.804958966034	7.093639515313841	6644.053918915891	6607.1440350104795	104818273
3335.703472137451	550	6606.116301252336	7.735921228125634	6624.117288595043	6578.918018580718	109129895
3459.7321248054504	560	6649.121209560424	8.525737220473049	6668.981546693126	6620.54427662745	113474695
3576.8515079021454	570	6692.323120495067	5.859108039841789	6704.632996648283	6679.269156664644	117824854
3700.767493247986	580	6668.963202800036	8.495087578647674	6686.23066792784	6645.669504026623	122130577
3830.1972391605377	590	6677.810953916138	9.374863753018959	6708.35998637606	6659.367950287407	126423619
3951.074056863785	600	6700.893895203215	10.062270622786384	6730.829274651643	6675.2979087200165	130753528
4075.6735014915466	610	6678.340165608372	8.965863058368177	6700.963830142696	6658.20760373412	135077423
4195.117782354355	620	6706.67608026971	6.959164169727597	6721.8185202875575	6685.972965005699	139436263
4313.688913106918	630	6730.508722268938	6.581191992409632	6746.430454189724	6715.255622076121	143793380
4438.186048984528	640	6729.711527427584	8.996567687145827	6761.831163417589	6712.625639407249	148151033
4552.996550798416	650	6696.060385931623	9.383186004548115	6716.426823672214	6676.821105023875	152454184
4674.430877447128	660	6724.859718521221	6.17827667709994	6736.562774973863	6708.8934936121295	156795690
4792.263850212097	670	6745.082526856546	7.673694327421967	6765.029774609868	6719.63945639552	161165414
4910.402266740799	680	6778.052026050283	8.72791032020456	6800.254531781249	6759.093753025249	165535339
5027.6806671619415	690	6772.672866174129	6.992060218992021	6792.2023784187095	6756.765173942654	169911652
5151.99413561821	700	6813.595757526163	9.854833167802079	6834.2503330489535	6782.354254270939	174257693
5271.874539852142	710	6867.93549689296	11.434929086395126	6892.7810235237985	6840.740104867102	178598704
5386.194083929062	720	6856.993585340991	11.99872148585019	6896.6352761246735	6831.351313053192	182975838
5505.807820081711	730	6909.6399131338585	14.879622775397413	6940.811851727407	6870.8715481775835	187349851
5631.983925104141	740	6850.846342758223	12.832376186652931	6881.901493934736	6820.078227442243	191733608
5749.658470869064	750	6877.356182157517	13.055923631997274	6908.000858305796	6840.748287296847	196140907
5872.405474662781	760	6930.8279037716775	12.175256003689379	6961.8243118404935	6902.45990952305	200566634
5996.3004150390625	770	6907.235707766789	13.774077953294748	6951.100085126479	6875.782612042549	204930596
6117.347671508789	780	6852.478504757951	12.266497482339831	6877.261785132332	6819.897461297539	209255922
6239.148018121719	790	6895.875049788217	10.602488772722069	6922.290783436547	6867.579668749227	213647797
6357.871724367142	800	6905.307289029085	12.660724383519627	6938.967638179861	6878.671897349165	218014851
6473.808391332626	810	6926.003965414729	13.267309878867101	6959.202728346735	6893.107789850375	222338007
6590.836143732071	820	6927.905156807345	13.062110204250638	6957.804025672111	6893.772502584684	226698684
6707.664168834686	830	6913.354170848707	9.430097953095109	6932.393005955805	6890.9839200227025	231102951
6833.89315199852	840	6939.070440520483	12.636162479668847	6964.747084811274	6909.784455362573	235513996
6954.777971982956	850	6919.273209349334	10.711247980729215	6941.961925833106	6887.255618822058	239900757
7076.170956611633	860	6966.615334267785	11.332663467959758	6991.9445258385	6939.575448138202	244276193
7192.064582824707	870	6993.605509122001	10.371862056299088	7012.894347605877	6965.986944484292	248700000
7308.137747764587	880	6998.420949277235	9.911555168275727	7026.275606479763	6968.197720483762	253108110
7425.853893995285	890	6995.945270596113	10.291514010353977	7017.475875452047	6965.987915001969	257533397
7546.081929683685	900	7004.339894112416	11.051242087954195	7023.602579104355	6963.326906256486	261958866
7668.49954533577	910	7036.479789088638	13.776287053186756	7069.181096276475	7004.092699855159	266396305
7789.720574140549	920	7014.1436757680785	13.474605924260885	7041.893547678066	6974.03225635845	270818709
7910.6623878479	930	7034.286878675664	9.998540157843074	7054.994581685492	7010.391485725939	275262073
8026.720443725586	940	7024.935294775347	14.506627579620362	7055.9722324356435	6989.51134619022	279677163
8147.094290018082	950	7063.4983721258095	13.35620853017552	7100.278067992775	7025.739396237627	284108132
8263.583874225616	960	7063.938418427017	10.741324959872665	7086.394395103432	7039.306311618069	288546538
8386.72392320633	970	7068.471891079648	11.919460113510508	7099.6645532152925	7036.43008862628	292989905
8506.981951475143	980	7070.222235790308	10.223432408493814	7097.931305155766	7049.501041369133	297459180
8624.49746465683	990	7080.991179451784	11.723598346856793	7105.375850253025	7040.270444453674	301913131
8739.759322404861	1000	7107.5919109626475	12.74417234035301	7135.631109304027	7069.19134615006	306354849
