Time	Iteration	AverageReward	StdRewards	MaxRewardRollout	MinRewardRollout	timesteps
11.907238721847534	10	302.704482692	10.3854318303	323.133572509	284.046500871	191222
22.151888132095337	20	309.440802807	11.4126058591	332.759870138	289.848597101	429256
32.59910225868225	30	336.812212746	14.0474715279	368.790433003	306.541389355	683835
43.47053527832031	40	435.011726325	10.2335942322	455.768969885	407.078685635	968292
55.69152855873108	50	465.801803413	15.3449108753	498.260512817	430.284656227	1287777
68.20759057998657	60	471.375981285	11.3509245391	489.52562909	443.902392216	1625684
81.61477041244507	70	498.585248737	14.5955746422	529.888838972	453.331864509	1977737
94.8975350856781	80	511.944278901	9.17504202461	528.416867066	489.663223866	2342458
109.30442428588867	90	522.136204597	8.51832401952	542.861641527	498.038163136	2719932
124.68150854110718	100	554.502347133	15.5353347653	579.959616239	510.065696651	3108574
140.4485261440277	110	536.15151661	15.7837082761	565.135511049	501.25872366	3508965
156.1760094165802	120	551.178002793	12.619697325	573.124696394	524.06329704	3913869
172.17999410629272	130	577.136672477	7.85494731576	597.865091648	558.095491411	4321673
188.11116766929626	140	546.450148268	6.36451099191	561.246700238	528.348300944	4736501
204.45964312553406	150	598.314972838	12.6134674192	630.075972117	569.771112585	5149865
221.21319580078125	160	563.863307797	8.33402579838	584.538139605	542.574208714	5567020
237.73245334625244	170	575.251866651	9.79846442893	595.754266701	553.509409259	5986626
254.17051076889038	180	579.135213799	10.5899874031	607.928884572	553.194074887	6413314
270.45124077796936	190	642.569985644	19.2537776905	698.364655265	600.611188995	6877218
288.1640305519104	200	747.075248685	56.8670491363	933.877337866	649.080375881	7366379
307.1660177707672	210	807.271702812	58.5349294735	952.061212791	716.292677167	7873101
325.61125588417053	220	761.602516954	49.4113387679	920.775918155	689.297088011	8395532
344.9229838848114	230	778.681754966	48.8222473785	876.249352878	644.844402212	8918197
364.0561800003052	240	821.923046956	43.1191522635	927.586811331	738.490241586	9447070
383.9273748397827	250	858.319481252	49.5659776782	1006.34460395	734.01618087	9990637
403.2296063899994	260	967.157101158	85.8322516735	1319.32217161	823.625902717	10548972
424.2630832195282	270	885.817997183	43.6891993476	964.323605742	740.538508568	11117012
445.4557795524597	280	880.675423218	69.99100256	1118.94391692	731.381753553	11684408
465.20566272735596	290	916.463892892	47.8124331743	1106.4267621	728.627227819	12250935
485.2260982990265	300	971.494411271	84.7449524577	1287.50847418	819.825001434	12822757
507.06163811683655	310	1018.49567643	83.5577510391	1323.52331169	863.525568073	13416456
527.1563351154327	320	1035.7089339	113.77840498	1464.67527235	863.340495656	14014400
548.3196697235107	330	997.163277617	77.4190398949	1245.22013988	896.95087713	14613736
568.9571828842163	340	987.688158958	88.4222290813	1302.21713977	857.926615022	15212146
590.2915618419647	350	1136.73117932	169.7307233	1631.17699591	921.993905925	15814528
611.3286848068237	360	1058.61748439	87.0772346273	1360.22654362	826.733833063	16420660
633.3433635234833	370	1112.40143633	94.377845529	1472.13066479	920.808568604	17036299
654.2979116439819	380	1044.28367141	93.1386398592	1371.88011211	824.408266054	17661079
676.4923827648163	390	1290.28991747	180.2035881	2423.34294518	975.828342727	18293005
699.7103729248047	400	1289.03162518	181.483723029	1862.15728857	978.554317454	18940828
723.5903763771057	410	1104.69541088	135.240662549	1988.35476246	930.622339542	19592694
745.7963070869446	420	1101.62848347	83.643500033	1425.78899472	979.039017846	20243111
769.2501785755157	430	1076.62161553	49.7710034207	1257.61475702	955.525497756	20891316
792.9755058288574	440	1241.21533445	148.044786582	1611.18562765	926.076459334	21554162
816.8102457523346	450	1071.51033913	107.561711847	1482.18949024	943.661960249	22231386
840.5898869037628	460	1127.70674806	122.721532532	1514.55898831	844.098819791	22894689
865.5090937614441	470	1191.67091354	199.813361031	2193.15892408	894.318811661	23576884
889.6902365684509	480	1308.44082471	212.332530994	2163.4384025	951.036707528	24259047
914.452442407608	490	1252.00672217	198.324952282	1810.80655777	875.642551899	24950877
939.0287170410156	500	1199.2998224	144.718692122	1763.07699517	969.976442948	25645345
963.5130560398102	510	1277.3846641	214.013110726	2012.77843689	921.595640921	26346564
987.542453289032	520	1214.1994083	120.114715848	1532.26747904	959.976709656	27051178
1012.5064373016357	530	1330.6059208	211.00058675	2469.27192365	944.557188448	27766611
1038.4688227176666	540	1346.66763177	233.074692109	2049.3379771	929.903945928	28492891
1063.934498310089	550	1348.33640157	177.593198039	1815.40436897	1060.51362502	29232117
1087.7168581485748	560	1280.58716457	176.879807172	1938.33460527	906.37504737	29967195
1113.8994224071503	570	1349.03690452	195.029878479	2089.73465263	1025.9177073	30706757
1140.1982707977295	580	1343.11258377	172.305098799	2081.32320754	1027.68247985	31454200
1166.2602343559265	590	1281.64770823	197.42320663	1947.73818382	840.00114299	32193124
1191.4049589633942	600	1382.80342624	223.30508224	2390.86099126	1001.92629366	32936594
1217.543241739273	610	1406.77327251	182.881430951	2074.83108217	967.590362529	33690870
1244.9480240345001	620	1377.961804	254.966499745	2349.99070973	1033.14039506	34448469
1272.7335686683655	630	1403.53879495	197.267772763	2152.95457993	1082.61225148	35208771
1299.528204202652	640	1395.39347213	201.155616044	1999.93921315	989.834432602	35977243
1327.6307570934296	650	1493.67720398	242.188397414	2549.89857448	980.961968818	36750166
1356.0913479328156	660	1359.12313827	194.455935315	2175.24453179	1060.72171557	37532804
1383.6480593681335	670	1428.2114027	261.797690537	2451.13286547	960.255157329	38307010
1410.3679521083832	680	1401.72499393	214.660437487	2058.97723642	995.844698989	39079848
1436.1003711223602	690	1476.71726648	183.533455626	2166.42865797	1068.23648767	39852366
1462.821275472641	700	1497.66055668	253.103851859	2225.05005305	954.404530807	40616100
1490.9551904201508	710	1528.1175483	333.734150214	2902.63510153	1115.15708935	41393519
1519.1451575756073	720	1548.14282121	309.223310569	2746.31314134	1094.54813047	42192825
1547.380496263504	730	1521.94806478	243.594561982	2500.42104513	1058.53183007	42987717
1573.8739740848541	740	1540.36781653	233.773928252	2196.04092779	937.482513546	43774967
1599.6374652385712	750	1498.94158012	213.993574543	2124.78405134	948.637648168	44572806
1624.5970091819763	760	1543.65918493	276.093229856	2239.48329468	922.504480971	45360793
1651.1630787849426	770	1451.77251855	257.554039586	2261.44379487	906.834382735	46143478
1677.1195793151855	780	1557.44116538	228.193953726	2078.90572519	1138.21764341	46931276
1702.8701519966125	790	1462.07685621	261.973509662	2106.15272121	861.158398045	47719420
1729.9925472736359	800	1576.08232652	275.380153705	2376.50826869	1072.8891843	48520247
1757.8061366081238	810	1484.69476408	318.328326699	3341.25629961	1023.56136995	49328379
1784.5333015918732	820	1567.33588083	284.153189848	2745.95548251	1044.47608876	50126539
1810.8807649612427	830	1449.22608154	308.523381562	2783.32867614	938.700587954	50928459
1837.1408126354218	840	1566.07015764	245.290076844	2360.33349101	1051.59758532	51747590
1864.7231588363647	850	1514.51622557	212.989711011	2215.39307531	1070.96563508	52572619
1891.4764337539673	860	1495.65239394	279.778786382	2192.9465254	968.350354138	53396463
1919.262591600418	870	1487.73807248	272.676559004	2346.92347866	985.271653242	54224711
1946.5405580997467	880	1557.92290809	257.208542464	2597.79257904	1013.31693521	55054140
1973.5833373069763	890	1569.05567619	256.825912475	2572.60799609	1101.37490657	55892573
2001.3538899421692	900	1527.68710344	244.515313055	2311.12623214	1108.65860035	56740527
2028.6795954704285	910	1632.93634782	339.962837241	2774.17856197	1136.90984766	57582050
2057.305104970932	920	1582.51931769	273.270419941	2369.79533031	1047.98384575	58438271
2086.152138233185	930	1559.26917638	279.513373832	2470.68709831	1115.94525725	59317533
2115.2752611637115	940	1719.29789637	327.381412169	2986.48685636	1172.54068107	60200241
2144.8576633930206	950	1762.72191053	352.319029375	3447.58479007	1176.81051197	61088179
2174.1015326976776	960	1696.82375681	354.996680775	3230.07505486	1121.97878995	61973551
2203.39106464386	970	1711.50679719	387.042388093	2717.17287075	1115.499402	62875165
2232.731111049652	980	1814.64077227	440.658272775	3104.34341234	961.161749765	63781426
2262.4037923812866	990	1739.17745363	339.239656766	2892.34181899	1078.14557693	64691531
2292.207346200943	1000	1795.79343855	392.601669711	2912.89624161	1158.92770531	65599232
2324.3729152679443	1010	1797.86848214	399.270262623	3034.79604184	1106.0541894	66538932
2356.198216676712	1020	1748.55920349	366.118462091	2846.98647315	1167.85878049	67478027
2387.532110929489	1030	1820.65208139	382.599165442	3635.19525045	1222.49120877	68437233
2419.394797563553	1040	1874.26196806	429.39348231	3609.85943747	1168.48238702	69407511
2451.571572780609	1050	1953.47708344	496.961759968	3750.65890202	1300.41259904	70384984
2485.4125838279724	1060	1802.38674198	379.189526179	3197.1280723	1222.45793448	71358105
2517.840434074402	1070	2101.62324732	615.049076836	5154.13120595	1214.91933461	72357384
2551.200439453125	1080	2116.30626409	495.737472229	3658.73019252	1169.77238915	73371938
2583.2767009735107	1090	2000.29437328	562.026244485	4548.56482979	1282.15683358	74381980
