Time	Iteration	AverageReward	StdRewards	MaxRewardRollout	MinRewardRollout	timesteps
10.720842599868774	10	292.0484607	12.0467186741	317.031113576	265.834118169	180967
19.749557971954346	20	307.377958005	11.8415273348	334.752070283	284.801283852	407569
29.706235647201538	30	342.102666597	11.0666410703	372.583573042	316.20673972	655541
41.13440155982971	40	381.459688405	13.9255602292	421.806938014	357.579860895	928998
53.302600622177124	50	454.306875383	20.1185602812	508.949488573	411.063672074	1231680
66.05704474449158	60	463.82601238	16.9011876471	499.276897486	422.320218432	1553445
80.13884234428406	70	485.677456184	15.4572464784	529.24621147	452.992458481	1892300
94.06795978546143	80	497.624725637	16.922816637	537.807699662	451.580795281	2233926
107.68957829475403	90	498.033263117	22.4067483586	548.246796647	454.415532243	2578739
121.52096223831177	100	507.580130993	22.6278834186	569.386060237	455.082363111	2928536
136.0511772632599	110	522.659407039	20.5277814564	559.130002916	474.737528013	3287111
150.569109916687	120	516.038369744	25.7968424208	582.871092979	451.050628375	3648099
164.79677414894104	130	521.573722262	22.9655317762	572.907437645	476.842184186	4008293
178.78467893600464	140	520.35243327	20.2141941074	561.365009114	454.248978485	4371404
193.8103733062744	150	514.420427508	31.1692129549	588.853111386	445.177068405	4737643
208.64455437660217	160	526.773581221	15.677865073	560.080945645	476.694096987	5103395
223.68646240234375	170	535.236962069	19.2126556811	579.602194917	485.923939821	5471739
238.54717350006104	180	533.044574008	19.2702370875	574.010342474	494.857404672	5844624
253.39902567863464	190	521.505654983	19.0951423299	576.463319796	473.586669084	6221600
268.38956332206726	200	536.268709783	20.936102508	587.142688907	483.495607149	6600346
283.62527537345886	210	531.518698676	16.9882014363	564.018234862	496.705916995	6979590
298.34065318107605	220	533.63730414	16.8235144082	585.501967728	485.289963072	7360333
313.48036766052246	230	529.64406982	19.8262905014	573.39981618	483.856899823	7739655
328.3734860420227	240	541.875183635	23.0132653582	602.517569306	493.635136299	8121790
343.6879005432129	250	547.386324494	18.0967672409	588.923718515	509.119507682	8505796
359.4392726421356	260	550.96297909	22.1028220795	596.225265724	493.848524393	8889969
375.26718640327454	270	547.678780472	17.2637995578	591.425859512	500.057360186	9278338
390.92671608924866	280	559.18936266	20.1514896996	608.886419376	511.282758112	9668784
406.13600993156433	290	549.160134052	22.0000757867	603.052905131	486.311313972	10063055
422.29718923568726	300	560.129294684	21.3394064624	608.501320906	507.389344365	10460091
438.50448274612427	310	565.961269441	24.7236929483	662.499199717	514.327754917	10861681
454.1805753707886	320	579.660521533	26.6972176226	668.464913203	495.637923964	11266210
470.5367314815521	330	606.127227982	26.5797572317	728.729530556	553.166421712	11676757
487.3030936717987	340	603.311893818	40.3984308643	759.467350601	529.482386465	12086854
504.3906600475311	350	707.510083771	71.1764579748	838.199592146	547.210302964	12510500
520.9429860115051	360	678.976509156	55.8119480964	781.148749751	574.603604406	12943223
538.2517790794373	370	685.961217533	49.6688430941	797.646153191	541.142325053	13388225
556.3656516075134	380	700.566468467	39.1126337664	810.544652526	600.103192058	13840358
574.526688337326	390	694.5404259	43.7219211113	811.71581733	542.507574485	14300747
593.2939038276672	400	731.208431242	39.2738883401	851.549908722	649.430047911	14768548
612.1271946430206	410	678.774288736	43.8572229224	833.281300897	374.405454418	15235638
629.9633955955505	420	708.992090414	44.8539606715	927.843569684	543.537693545	15706992
647.7710447311401	430	756.486787139	52.9696500876	1023.91748407	677.516927388	16180353
666.9885289669037	440	743.715217727	52.4895395936	919.829041582	646.161796056	16665042
686.0041377544403	450	762.072150199	51.4647845026	906.447601621	658.068036723	17144459
704.1391348838806	460	760.546076879	65.0200358358	992.971208295	495.672695481	17627986
722.7649745941162	470	743.86057231	37.3286033335	903.59370251	672.01932317	18108294
741.9372742176056	480	740.320996437	56.0206212471	916.608996158	577.38626846	18595736
761.3961138725281	490	774.434918032	72.2656894302	984.222236944	670.617952471	19081607
780.5248210430145	500	748.210592752	70.1677438196	966.309183056	534.058442716	19572280
799.252189874649	510	806.820203358	64.1704857812	1018.73667956	686.585656056	20063878
817.9389653205872	520	813.367704413	56.9965189928	998.523543351	721.76724739	20559593
837.4546601772308	530	798.547019618	62.3006239818	935.191227229	638.713013215	21054419
856.7355678081512	540	825.465411145	68.5264353672	1064.55241089	718.011112112	21555268
875.8638732433319	550	851.300021386	59.7523893709	1010.02345774	727.293076435	22062032
894.188134431839	560	857.593625423	72.2754241976	1016.27397529	634.538015271	22569084
914.12042760849	570	875.167980327	68.4939424484	1111.1002835	731.00935196	23081866
932.7902414798737	580	833.892495006	62.0931154077	1017.27341768	713.093267308	23590485
951.9649407863617	590	843.172305231	71.7752173199	1020.44790127	728.730657426	24102179
971.193633556366	600	830.661729619	59.5433529195	1005.53463692	720.371342224	24619556
991.3846859931946	610	860.70693531	70.8702182044	1069.46466082	707.596581175	25139547
