Time	Iteration	AverageReward	StdRewards	MaxRewardRollout	MinRewardRollout	timesteps
11.205899477005005	10	284.88671605	11.1507868762	304.912765987	262.073279328	185435
21.03169345855713	20	357.90791126	7.77662085711	377.988810088	334.299212085	434391
32.27238154411316	30	419.938570893	10.8478424196	443.110624888	394.949693408	712365
44.62927222251892	40	441.720085539	10.506585007	465.101322026	414.217150106	1020965
57.67726755142212	50	473.295165097	9.58018383073	493.833204065	451.014183499	1345820
71.1052508354187	60	481.923359154	11.1647246623	515.442367894	446.773458468	1683116
84.46044445037842	70	516.127861035	19.1491779437	604.845770105	486.228121271	2028242
97.91523933410645	80	568.239716394	31.095957392	644.864290217	499.416533534	2387416
112.84270763397217	90	621.901328577	21.2877540106	682.520692344	573.476525674	2777676
129.3272716999054	100	629.38384338	38.8457225828	747.764892992	568.396296509	3192357
145.493581533432	110	666.173753737	25.8418081356	728.403481503	605.688134119	3618667
162.47635531425476	120	673.153241257	44.4926111371	793.38573712	596.273960679	4059567
179.71582984924316	130	740.928499118	54.4992485445	889.836440312	621.257265028	4507897
196.7940855026245	140	731.589939516	44.8418911476	883.694094998	614.410836094	4976100
214.2892870903015	150	724.01955144	50.2605143745	982.251256033	650.000076359	5453168
232.28233242034912	160	772.974851312	45.8376553362	863.589986567	674.392131891	5926046
249.51413941383362	170	769.407789507	35.7960211412	838.152786661	653.474088202	6405473
268.02941513061523	180	714.562508327	49.9943314305	831.266022487	630.878503452	6891225
286.2234842777252	190	778.861600005	52.8869387058	994.657075871	680.668266467	7380039
304.89015769958496	200	787.320336451	41.4790155723	884.615956355	690.737952644	7866855
323.43378353118896	210	778.344321149	52.0992339423	917.254133307	672.123504349	8349606
341.94649362564087	220	799.439718114	53.4236414969	971.979912228	696.112065974	8839363
359.3703947067261	230	780.896939414	57.0464195474	928.902597893	635.180428445	9323743
378.38922357559204	240	809.244166253	56.4406302187	937.598327071	623.420023101	9815170
396.4846806526184	250	768.834012112	45.5803043977	889.3599702	676.610734562	10308639
414.87039518356323	260	769.686695549	52.3746723426	917.64529443	659.246431702	10808881
432.8837568759918	270	797.607975153	54.2693361061	1010.8949874	701.355322741	11306306
451.5861163139343	280	788.945182913	57.1617641126	939.5906023	671.474712978	11809638
470.8716118335724	290	779.21375325	69.6012111088	947.054806431	654.642643945	12317209
488.4068281650543	300	844.953001866	76.5745041911	1047.87173165	675.720198319	12825483
506.44738030433655	310	830.526721377	62.432622628	976.199099163	628.181013988	13335107
525.4096159934998	320	809.932952742	63.3869065046	982.685264331	664.547895128	13839454
544.9383146762848	330	817.231316717	73.709428164	983.63367396	655.953859822	14346582
563.3042752742767	340	843.897952115	50.0751812509	955.675551436	683.704411069	14854398
582.054770231247	350	829.860881123	70.622246299	1091.10759527	677.98375394	15373275
601.8557198047638	360	886.190273304	71.5530642957	1136.05356126	716.508724266	15901576
620.7048366069794	370	836.188544601	57.8075365928	1027.29344667	721.988988583	16435765
640.5509762763977	380	848.900924437	56.2601465131	1082.23321277	709.989551381	16966208
659.7004253864288	390	886.938684847	71.2264347907	1059.73536067	695.918357232	17501348
678.420706987381	400	867.630794051	57.9381693223	1097.29016984	757.887186394	18038679
697.1553680896759	410	892.753196719	77.8915073077	1154.23677909	739.207048353	18567852
717.586701631546	420	880.534564427	62.7688777648	1084.52106682	735.349645296	19109318
737.2259917259216	430	910.502937858	85.3707150663	1146.41721883	717.953192717	19648953
756.8171203136444	440	940.631944476	85.3682019949	1210.21182739	763.025346157	20198135
776.8650715351105	450	919.557221353	73.6956640389	1131.37465548	707.457165921	20747170
795.8977799415588	460	944.58449401	86.1517484686	1156.39774592	707.471460968	21298001
816.4476273059845	470	934.638895627	97.4990936474	1325.81897806	738.084510672	21847319
836.7128462791443	480	928.476697496	76.2591744984	1110.5469324	742.07565492	22404413
857.6248459815979	490	861.284419078	72.1361063214	1064.85441423	678.9543311	22959885
877.6690814495087	500	924.544956384	97.5469009778	1201.15674846	698.374930031	23509882
898.8212015628815	510	908.158343389	77.6413155252	1180.02572756	762.136982709	24066603
918.6133801937103	520	907.357513898	77.6898091525	1221.68252558	760.295770203	24619645
938.4271152019501	530	921.593540068	75.0718422094	1097.2330972	746.34965928	25171334
958.9147253036499	540	945.08618059	80.4195837676	1149.05634704	685.931605374	25723301
979.8926138877869	550	873.350268903	68.812549467	1075.31590309	671.689548308	26283410
1000.1508870124817	560	910.623745003	67.4849047547	1106.39034418	747.446227464	26841251
1020.3946466445923	570	935.663415105	81.7081035358	1242.0400254	688.914537345	27408664
1041.064779996872	580	899.950573254	62.3389024432	1080.69042641	744.747877742	27970587
1061.4539909362793	590	869.694185249	61.7532998972	1124.34427646	706.876575155	28527127
1082.0721409320831	600	912.815912384	59.0312819232	1062.45770091	792.572990304	29085509
1102.3691523075104	610	941.496577658	73.5548012089	1086.46246832	753.426695291	29650361
1121.9813799858093	620	929.668554033	84.5235153111	1177.30749659	713.00751395	30220068
1142.8470752239227	630	977.170409973	67.7016408606	1126.56352151	762.475110199	30786769
1163.405736207962	640	967.967693383	75.3610932564	1230.86385874	788.525152122	31356914
1184.5217180252075	650	964.17178515	88.3215614483	1356.20780762	760.533433411	31931188
1205.27876162529	660	967.632509551	76.5648474791	1118.12397653	778.416339853	32510424
1226.2058312892914	670	954.375354908	61.01392203	1084.86355004	792.978025117	33091618
1247.6371071338654	680	964.761073481	73.0074061167	1132.59256571	747.220963022	33672960
1268.3991568088531	690	972.967617191	67.169755787	1120.62666235	743.332651545	34253394
1290.6354863643646	700	977.177355773	71.5186051319	1274.21238282	851.884635526	34840434
1310.2570173740387	710	984.113206942	64.3282561322	1153.25674618	839.323655305	35426975
1332.159568786621	720	981.839751334	69.8659894545	1183.39299097	847.798710869	36010994
1352.9525699615479	730	974.712801726	77.8877627352	1133.41822752	732.230237307	36601686
1374.3315706253052	740	971.75650053	99.1833432125	1239.51746379	717.180620836	37194792
1396.0811786651611	750	979.50830374	69.6151755233	1110.90502129	779.15957098	37784399
1417.088336467743	760	1001.29883926	92.7404937535	1311.68490859	758.455074809	38376115
1438.800717830658	770	1019.72324067	94.2226251223	1315.60239842	796.939682696	38967187
1461.065170764923	780	1036.75949475	79.4973308472	1309.79931048	771.14773975	39565040
1482.9189870357513	790	1001.7166982	79.8485132719	1296.44532198	751.124129413	40170136
1504.4737741947174	800	1012.17131501	125.592736544	1337.27595726	745.604775871	40780815
1527.4271988868713	810	1008.97346675	113.492405561	1469.44150542	727.132885848	41386991
1549.0594511032104	820	1018.0149675	97.2821057194	1215.94294025	759.480065325	41995441
1571.714029788971	830	1029.30827853	99.3148918773	1369.68158863	785.43856922	42606241
1594.8602919578552	840	1028.3175259	103.110036727	1336.86679391	823.321561396	43209638
1617.599363565445	850	1020.80223004	113.188414298	1392.2611678	758.546172379	43815624
1640.492301940918	860	1032.91840352	73.8487570206	1202.44697277	876.717068367	44423193
1662.892041683197	870	1040.91188415	100.713225031	1375.87082642	843.914564228	45037975
1686.581874370575	880	1048.78183632	90.521299356	1296.00869274	865.450532132	45658699
1709.5886867046356	890	1060.40600622	87.4875412107	1287.64101382	834.906071525	46278004
1731.9754095077515	900	1026.0987716	113.494762638	1375.29876125	687.9874261	46896213
1755.272540807724	910	1021.16808707	91.6836456878	1476.86959345	852.608547488	47506982
1776.6500062942505	920	1021.29519642	88.2617170901	1291.57805457	857.493566076	48123061
1799.0642259120941	930	1020.23110756	66.5637692468	1181.32088031	808.447540874	48735850
1820.4440250396729	940	976.454711272	75.6663829261	1165.77063197	748.358120499	49351093
1842.4297256469727	950	1030.94753489	93.6176597156	1283.28094472	797.599294375	49961406
1865.086761713028	960	1048.93705764	103.002475779	1389.27822919	782.348011572	50581033
1886.8902983665466	970	1054.53355824	111.346007745	1288.89095512	777.610506051	51200570
1909.5734505653381	980	1021.42121465	77.6984599205	1272.93579437	837.398431287	51821579
1931.9173498153687	990	1044.9888243	97.2531384779	1329.61557479	876.801577928	52446603
1955.1075887680054	1000	1061.87492694	100.222680103	1432.91289329	865.295385743	53070048
1978.4925496578217	1010	1037.98257941	93.0854338471	1268.80687036	858.403609723	53696418
2002.060687303543	1020	1040.13628202	85.3658513658	1260.2167256	856.844038463	54324499
2025.9177222251892	1030	1038.63579642	106.813580112	1306.42481015	852.897644243	54951503
2049.2263135910034	1040	1089.87513058	113.182571597	1361.50620372	868.882289141	55579477
2073.499047756195	1050	1077.09599069	91.311040499	1395.46277665	834.920694732	56212756
2096.112805366516	1060	1090.09963697	116.986950925	1399.68213394	826.434058641	56853349
